,Education (No Schooling),Education (High School),Education (GED),Education (Associate's),Education (Bachelor's),Education (Master's),Education (Professional),Education (Doctorate),Zipcode
27158,34.0,3103.0,665.0,1182.0,3801.0,1211.0,97.0,155.0,78610
27161,78.0,5730.0,1114.0,3437.0,14141.0,4377.0,802.0,514.0,78613
27165,474.0,2982.0,812.0,454.0,1270.0,227.0,12.0,0.0,78617
27185,405.0,5219.0,1381.0,2870.0,7161.0,2025.0,211.0,211.0,78641
27192,25.0,713.0,51.0,164.0,1271.0,313.0,22.0,10.0,78652
27193,278.0,1916.0,331.0,778.0,1744.0,391.0,145.0,42.0,78653
27199,660.0,8068.0,1518.0,4886.0,11731.0,4151.0,282.0,402.0,78660
27203,512.0,6602.0,1231.0,2509.0,7320.0,2212.0,439.0,332.0,78664
27213,281.0,4230.0,923.0,2573.0,10708.0,4191.0,557.0,463.0,78681
27214,33.0,361.0,20.0,75.0,1915.0,1092.0,507.0,282.0,78701
27215,517.0,2516.0,730.0,323.0,3205.0,1002.0,178.0,174.0,78702
27216,25.0,460.0,128.0,223.0,6595.0,3315.0,2016.0,611.0,78703
27217,227.0,2891.0,556.0,1546.0,11110.0,3834.0,1584.0,759.0,78704
27218,98.0,296.0,80.0,242.0,2165.0,1014.0,179.0,418.0,78705
27219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78712
27220,58.0,1467.0,471.0,1524.0,5546.0,2455.0,295.0,423.0,78717
27221,25.0,201.0,89.0,20.0,76.0,48.0,0.0,0.0,78719
27222,296.0,1599.0,419.0,249.0,783.0,187.0,38.0,19.0,78721
27223,0.0,401.0,46.0,189.0,1978.0,859.0,102.0,197.0,78722
27224,503.0,3116.0,1021.0,785.0,4098.0,1605.0,324.0,315.0,78723
27225,174.0,2740.0,582.0,683.0,915.0,245.0,18.0,71.0,78724
27226,61.0,1153.0,97.0,120.0,597.0,127.0,0.0,15.0,78725
27227,39.0,520.0,278.0,515.0,2793.0,1880.0,218.0,229.0,78726
27228,34.0,2392.0,509.0,1212.0,7164.0,2317.0,353.0,426.0,78727
27229,90.0,2152.0,310.0,1370.0,3850.0,1475.0,199.0,138.0,78728
27230,38.0,2461.0,184.0,1212.0,5694.0,1919.0,402.0,158.0,78729
27231,0.0,239.0,67.0,356.0,2543.0,1220.0,320.0,279.0,78730
27232,69.0,1020.0,122.0,688.0,7528.0,3747.0,1642.0,1052.0,78731
27233,0.0,606.0,163.0,434.0,4010.0,1914.0,466.0,462.0,78732
27234,12.0,567.0,86.0,242.0,2106.0,1240.0,612.0,326.0,78733
27235,47.0,1830.0,261.0,591.0,4408.0,1497.0,301.0,242.0,78734
27236,102.0,730.0,96.0,605.0,4952.0,1822.0,766.0,437.0,78735
27237,56.0,652.0,110.0,270.0,1803.0,833.0,62.0,86.0,78736
27238,1.0,859.0,106.0,546.0,3463.0,1447.0,433.0,306.0,78737
27239,2.0,618.0,57.0,490.0,3865.0,1552.0,400.0,133.0,78738
27240,44.0,687.0,74.0,484.0,4754.0,2002.0,529.0,353.0,78739
27241,510.0,4525.0,1035.0,1107.0,3866.0,1351.0,225.0,237.0,78741
27242,7.0,66.0,41.0,8.0,68.0,40.0,0.0,5.0,78742
27243,1147.0,5452.0,1331.0,1233.0,2478.0,664.0,201.0,35.0,78744
27244,298.0,6923.0,1836.0,2426.0,10258.0,3204.0,587.0,359.0,78745
27245,18.0,783.0,167.0,625.0,8101.0,3972.0,2097.0,966.0,78746
27246,201.0,2194.0,434.0,584.0,2354.0,406.0,133.0,118.0,78747
27247,134.0,4469.0,801.0,2116.0,8639.0,2750.0,297.0,217.0,78748
27248,74.0,2437.0,339.0,1572.0,9571.0,3755.0,725.0,633.0,78749
27249,61.0,2264.0,409.0,1082.0,6564.0,2470.0,801.0,761.0,78750
27250,52.0,501.0,189.0,438.0,3468.0,1893.0,277.0,488.0,78751
27251,339.0,2075.0,480.0,493.0,2095.0,807.0,88.0,120.0,78752
27252,967.0,6852.0,1143.0,1645.0,4746.0,1238.0,167.0,186.0,78753
27253,187.0,2008.0,516.0,698.0,2516.0,902.0,97.0,127.0,78754
27254,9.0,328.0,152.0,251.0,2218.0,1293.0,211.0,339.0,78756
27255,116.0,2178.0,384.0,926.0,5220.0,2528.0,514.0,461.0,78757
27256,562.0,5270.0,1200.0,1690.0,6744.0,2167.0,169.0,200.0,78758
27257,47.0,2476.0,424.0,1484.0,11325.0,5109.0,1497.0,1299.0,78759
